Mongbalu,2026-05-14,0
Mongbalu,2026-05-15,0
Rwampara,2026-05-15,13
Bunia,2026-05-15,0
Mongbalu,2026-05-18,1
Rwampara,2026-05-18,6
Bunia,2026-05-18,6
Nyakunde,2026-05-18,4
Goma,2026-05-18,1
Katwa,2026-05-18,1
Butembo,2026-05-18,1
Mongbalu,2026-05-19,12
Rwampara,2026-05-19,4
Bunia,2026-05-19,0
Nyakunde,2026-05-19,0
Goma,2026-05-19,0
Katwa,2026-05-19,0
Butembo,2026-05-19,0
Mongbalu,2026-05-20,0
Rwampara,2026-05-20,3
Bunia,2026-05-20,5
Nyakunde,2026-05-20,1
Goma,2026-05-20,0
Katwa,2026-05-20,1
Butembo,2026-05-20,0
Bambu,2026-05-20,1
Mongbalu,2026-05-21,1
Rwampara,2026-05-21,7
Bunia,2026-05-21,6
Nyakunde,2026-05-21,2
Goma,2026-05-21,0
Katwa,2026-05-21,1
Butembo,2026-05-21,1
Bambu,2026-05-21,0
Nizi,2026-05-21,1
Kilo,2026-05-21,1
Miti-Murhesa,2026-05-21,1
Mongbalu,2026-05-22,0
Rwampara,2026-05-22,1
Bunia,2026-05-22,8
Nyakunde,2026-05-22,0
Goma,2026-05-22,0
Katwa,2026-05-22,2
Butembo,2026-05-22,0
Bambu,2026-05-22,0
Nizi,2026-05-22,1
Kilo,2026-05-22,0
Miti-Murhesa,2026-05-22,0
Aru,2026-05-22,1
Mongbalu,2026-05-23,9
Rwampara,2026-05-23,0
Bunia,2026-05-23,1
Nyakunde,2026-05-23,0
Goma,2026-05-23,ND
Katwa,2026-05-23,1
Butembo,2026-05-23,ND
Bambu,2026-05-23,0
Nizi,2026-05-23,0
Kilo,2026-05-23,0
Miti-Murhesa,2026-05-23,ND
Aru,2026-05-23,ND
Mongbalu,2026-05-24,0
Rwampara,2026-05-24,0
Bunia,2026-05-24,0
Nyakunde,2026-05-24,0
Goma,2026-05-24,0
Katwa,2026-05-24,0
Butembo,2026-05-24,2
Bambu,2026-05-24,ND
Nizi,2026-05-24,0
Kilo,2026-05-24,0
Miti-Murhesa,2026-05-24,0
Aru,2026-05-24,0
Oicha,2026-05-24,1
Kalunguta,2026-05-24,1
Mongbalu,2026-05-25,0
Rwampara,2026-05-25,0
Bunia,2026-05-25,0
Nyankunde,2026-05-25,0
Goma,2026-05-25,0
Katwa,2026-05-25,0
Butembo,2026-05-25,0
Bambu,2026-05-25,ND
Nizi,2026-05-25,0
Kilo,2026-05-25,0
Miti-Murhesa,2026-05-25,0
Aru,2026-05-25,0
Oicha,2026-05-25,0
Kalunguta,2026-05-25,0
Karisimbi,2026-05-25,1
Mongbalu,2026-05-26,1
Rwampara,2026-05-26,1
Bunia,2026-05-26,12
Nyankunde,2026-05-26,1
Goma,2026-05-26,0
Katwa,2026-05-26,0
Butembo,2026-05-26,0
Bambu,2026-05-26,0
Nizi,2026-05-26,0
Kilo,2026-05-26,0
Miti-Murhesa,2026-05-26,0
Aru,2026-05-26,0
Oicha,2026-05-26,0
Kalunguta,2026-05-26,0
Karisimbi,2026-05-26,0
Damas,2026-05-26,0
Fataki,2026-05-26,0
Mambasa,2026-05-26,0
Rimba,2026-05-26,0
Kyondo,2026-05-26,1
Mongbalu,2026-05-27,0
Rwampara,2026-05-27,0
Bunia,2026-05-27,1
Nyankunde,2026-05-27,0
Goma,2026-05-27,0
Katwa,2026-05-27,0
Butembo,2026-05-27,2
Bambu,2026-05-27,0
Nizi,2026-05-27,0
Kilo,2026-05-27,0
Miti-Murhesa,2026-05-27,0
Aru,2026-05-27,0
Oicha,2026-05-27,1
Kalunguta,2026-05-27,1
Karisimbi,2026-05-27,ND
Damas,2026-05-27,ND
Fataki,2026-05-27,ND
Mambasa,2026-05-27,ND
Rimba,2026-05-27,ND
Kyondo,2026-05-27,ND
Aru,2026-05-29,0
Bambu,2026-05-29,0
Bunia,2026-05-29,21
Kilo,2026-05-29,0
Mongbalu,2026-05-29,8
Nizi,2026-05-29,0
Nyankunde,2026-05-29,2
Rwampara,2026-05-29,12
Mangala,2026-05-29,0
Damas,2026-05-29,0
Aungba,2026-05-29,0
Gety,2026-05-29,ND
Komanda,2026-05-29,ND
Jiba,2026-05-29,ND
Lita,2026-05-29,1
Butembo,2026-05-29,ND
Goma,2026-05-29,ND
Katwa,2026-05-29,ND
Karisimbi,2026-05-29,ND
Kyondo,2026-05-29,ND
Oicha,2026-05-29,ND
Kalunguta,2026-05-29,ND
Beni,2026-05-29,ND
Miti-Murhesa,2026-05-29,2
Aru,2026-06-01,0
Bambu,2026-06-01,0
Bunia,2026-06-01,6
Kilo,2026-06-01,0
Mongbwalu,2026-06-01,11
Nizi,2026-06-01,0
Nyankunde,2026-06-01,0
Rwampara,2026-06-01,3
Mangala,2026-06-01,0
Damas,2026-06-01,0
Aungba,2026-06-01,0
Gethy,2026-06-01,0
Komanda,2026-06-01,1
Jiba,2026-06-01,ND
Lita,2026-06-01,0
Logo,2026-06-01,1
Mambasa,2026-06-01,2
NA,2026-06-01,74
Butembo,2026-06-01,0
Goma,2026-06-01,0
Katwa,2026-06-01,3
Karisimbi,2026-06-01,ND
Kyondo,2026-06-01,0
Oicha,2026-06-01,1
Kalunguta,2026-06-01,0
Manguredjipa,2026-06-01,ND
Beni,2026-06-01,3
Miti-Murhesa,2026-06-01,0
