Mongbalu,2026-05-14,82
Mongbalu,2026-05-15,ND
Rwampara,2026-05-15,ND
Bunia,2026-05-15,ND
Mongbalu,2026-05-18,79
Rwampara,2026-05-18,120
Bunia,2026-05-18,127
Nyakunde,2026-05-18,133
Mongbalu,2026-05-19,15
Rwampara,2026-05-19,215
Bunia,2026-05-19,76
Nyakunde,2026-05-19,0
Komanda,2026-05-19,ND
Mangala,2026-05-19,ND
Mongbalu,2026-05-20,0
Rwampara,2026-05-20,286
Bunia,2026-05-20,0
Nyakunde,2026-05-20,0
Bambu,2026-05-20,128
Mongbalu,2026-05-21,0
Rwampara,2026-05-21,0
Bunia,2026-05-21,87
Nyakunde,2026-05-21,207
Nizi,2026-05-21,0
Kilo,2026-05-21,0
Mongbalu,2026-05-22,46
Rwampara,2026-05-22,0
Bunia,2026-05-22,87
Nyakunde,2026-05-22,25
Nizi,2026-05-22,0
Kilo,2026-05-22,176
Aru,2026-05-22,0
Mongbalu,2026-05-23,0
Rwampara,2026-05-23,0
Bunia,2026-05-23,43
Nyakunde,2026-05-23,0
Nizi,2026-05-23,7
Kilo,2026-05-23,ND
Aru,2026-05-23,ND
Bambu,2026-05-23,55
Mongbalu,2026-05-24,0
Rwampara,2026-05-24,0
Bunia,2026-05-24,0
Nyakunde,2026-05-24,0
Nizi,2026-05-24,0
Kilo,2026-05-24,0
Aru,2026-05-24,0
Bambu,2026-05-24,0
Butembo,2026-05-24,22
Goma,2026-05-24,28
Katwa,2026-05-24,99
Karisimbi,2026-05-24,249
Kyondo,2026-05-24,16
Mongbalu,2026-05-25,0
Rwampara,2026-05-25,0
Bunia,2026-05-25,0
Nyakunde,2026-05-25,0
Nizi,2026-05-25,0
Kilo,2026-05-25,0
Aru,2026-05-25,0
Bambu,2026-05-25,0
Butembo,2026-05-25,0
Goma,2026-05-25,0
Katwa,2026-05-25,0
Karisimbi,2026-05-25,0
Kyondo,2026-05-25,0
Mongbalu,2026-05-26,0
Rwampara,2026-05-26,0
Bunia,2026-05-26,0
Nyakunde,2026-05-26,0
Nizi,2026-05-26,0
Kilo,2026-05-26,0
Aru,2026-05-26,0
Bambu,2026-05-26,0
Butembo,2026-05-26,0
Goma,2026-05-26,0
Katwa,2026-05-26,0
Karisimbi,2026-05-26,0
Kyondo,2026-05-26,0
Mongbalu,2026-05-27,0
Rwampara,2026-05-27,76
Bunia,2026-05-27,0
Nyakunde,2026-05-27,32
Nizi,2026-05-27,ND
Kilo,2026-05-27,41
Aru,2026-05-27,0
Bambu,2026-05-27,61
Butembo,2026-05-27,6
Goma,2026-05-27,46
Katwa,2026-05-27,12
Karisimbi,2026-05-27,ND
Kyondo,2026-05-27,0
Mongbalu,2026-05-28,ND
Rwampara,2026-05-28,ND
Bunia,2026-05-28,ND
Nyakunde,2026-05-28,ND
Nizi,2026-05-28,ND
Kilo,2026-05-28,ND
Aru,2026-05-28,ND
Bambu,2026-05-28,ND
Butembo,2026-05-28,ND
Goma,2026-05-28,ND
Katwa,2026-05-28,ND
Karisimbi,2026-05-28,ND
Kyondo,2026-05-28,ND
Mongbalu,2026-05-29,235
Rwampara,2026-05-29,766
Bunia,2026-05-29,476
Nyakunde,2026-05-29,435
Nizi,2026-05-29,288
Kilo,2026-05-29,41
Aru,2026-05-29,107
Bambu,2026-05-29,323
Butembo,2026-05-29,24
Goma,2026-05-29,66
Katwa,2026-05-29,112
Karisimbi,2026-05-29,249
Kyondo,2026-05-29,16
Oicha,2026-05-29,32
Kalunguta,2026-05-29,20
Manguredjipa,2026-05-29,10
Beni,2026-05-29,ND
Miti-Murhesa,2026-05-29,ND
Mongbalu,2026-05-30,ND
Rwampara,2026-05-30,ND
Bunia,2026-05-30,ND
Nyakunde,2026-05-30,ND
Nizi,2026-05-30,ND
Kilo,2026-05-30,ND
Aru,2026-05-30,ND
Bambu,2026-05-30,ND
Butembo,2026-05-30,ND
Goma,2026-05-30,ND
Katwa,2026-05-30,ND
Karisimbi,2026-05-30,ND
Kyondo,2026-05-30,ND
